Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11-Dec-13,ODI # 3444
123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,19-Jan-14,ODI # 3456
78,88,65,7,2,120,3,caught,2,v New Zealand,Hamilton,22-Jan-14,ODI # 3458
6,27,20,1,0,30,3,caught,2,v New Zealand,Auckland,25-Jan-14,ODI # 3462
2,14,10,0,0,20,2,caught,1,v New Zealand,Hamilton,28-Jan-14,ODI # 3465
82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,31-Jan-14,ODI # 3467
136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,26-Feb-14,ODI # 3474
48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,28-Feb-14,ODI # 3476
5,29,11,0,0,45.45,3,caught,1,v Pakistan,Dhaka,02-Mar-14,ODI # 3479
DNB,-,-,-,-,-,-,-,2,v Afghanistan,Dhaka,05-Mar-14,ODI # 3483
0,1,3,0,0,0,3,caught,1,v England,Cardiff,27-Aug-14,ODI # 3517
40,67,50,2,1,80,3,caught,2,v England,Nottingham,30-Aug-14,ODI # 3520
1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,02-Sep-14,ODI # 3523
13,25,21,2,0,61.9,3,caught,2,v England,Leeds,05-Sep-14,ODI # 3525
2,7,5,0,0,40,3,caught,2,v West Indies,Kochi,08-Oct-14,ODI # 3531
62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,11-Oct-14,ODI # 3533
127,164,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,17-Oct-14,ODI # 3535
22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,02-Nov-14,ODI # 3539
49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,06-Nov-14,ODI # 3540
53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),09-Nov-14,ODI # 3543
66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,13-Nov-14,ODI # 3544
139*,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,16-Nov-14,ODI # 3547
9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,18-Jan-15,ODI # 3582
4,13,8,0,0,50,4,caught,1,v England,Brisbane,20-Jan-15,ODI # 3586
3*,8,9,0,0,33.33,4,not out,1,v Australia,Sydney,26-Jan-15,ODI # 3592
8,26,19,0,0,42.1,3,caught,1,v England,Perth,30-Jan-15,ODI # 3595
107,168,126,8,0,84.92,3,caught,1,v Pakistan,Adelaide,15-Feb-15,ODI # 3602
46,106,60,3,0,76.66,3,caught,1,v South Africa,Melbourne,22-Feb-15,ODI # 3610
33*,49,41,5,0,80.48,3,not out,2,v U.A.E.,Perth,28-Feb-15,ODI # 3618
33,51,36,5,0,91.66,3,caught,2,v West Indies,Perth,06-Mar-15,ODI # 3625
44*,64,42,4,1,104.76,3,not out,2,v Ireland,Hamilton,10-Mar-15,ODI # 3631
38,71,48,4,0,79.16,3,bowled,2,v Zimbabwe,Auckland,14-Mar-15,ODI # 3636
3,6,8,0,0,37.5,3,caught,1,v Bangladesh,Melbourne,19-Mar-15,ODI # 3641
1,11,13,0,0,7.69,3,caught,2,v Australia,Sydney,26-Mar-15,ODI # 3645
1,9,4,0,0,25,3,caught,2,v Bangladesh,Dhaka,18-Jun-15,ODI # 3658
23,57,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,21-Jun-15,ODI # 3660
25,55,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,24-Jun-15,ODI # 3661
11,29,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11-Oct-15,ODI # 3689
12,24,18,0,0,66.66,4,run out,1,v South Africa,Indore,14-Oct-15,ODI # 3692
77,155,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18-Oct-15,ODI # 3695
138,202,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22-Oct-15,ODI # 3698
7,11,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,25-Oct-15,ODI # 3700
91,148,97,9,1,93.81,3,caught,1,v Australia,Perth,12-Jan-16,ODI # 3723
59,84,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15-Jan-16,ODI # 3724
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne,17-Jan-16,ODI # 3725
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra,20-Jan-16,ODI # 3726
