Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
DNB,-,-,-,-,-,-,-,2,v Ireland,Belfast,23-Jun-07,ODI # 2590
8,13,9,0,0,88.88,7,bowled,1,v South Africa,Belfast,26-Jun-07,ODI # 2592
1,3,4,0,0,25,7,caught,2,v Australia,Hyderabad (Deccan),05-Oct-07,ODI # 2625
52,82,61,3,1,85.24,5,caught,2,v Pakistan,Jaipur,18-Nov-07,ODI # 2647
29,68,43,5,0,67.44,4,caught,1,v Australia,Brisbane,03-Feb-08,ODI # 2670
0,1,2,0,0,0,5,caught,1,v Sri Lanka,Brisbane,05-Feb-08,ODI # 2672
39*,86,61,2,0,63.93,6,not out,2,v Australia,Melbourne,10-Feb-08,ODI # 2675
70*,93,64,6,1,109.37,4,not out,1,v Sri Lanka,Canberra,12-Feb-08,ODI # 2676
1,12,3,0,0,33.33,4,caught,2,v Australia,Adelaide,17-Feb-08,ODI # 2680
24,74,36,1,0,66.66,4,caught,2,v Sri Lanka,Adelaide,19-Feb-08,ODI # 2681
1,3,3,0,0,33.33,4,caught,2,v Australia,Sydney,24-Feb-08,ODI # 2685
3*,8,7,0,0,42.85,5,not out,2,v Sri Lanka,Hobart,26-Feb-08,ODI # 2686
66,108,87,6,0,75.86,5,bowled,2,v Australia,Sydney,02-Mar-08,ODI # 2688
2,6,5,0,0,40,6,caught,1,v Australia,Brisbane,04-Mar-08,ODI # 2689
9,28,27,0,0,33.33,5,bowled,1,v Pakistan,Dhaka,10-Jun-08,ODI # 2705
26,50,43,1,1,60.46,3,caught,2,v Bangladesh,Dhaka,12-Jun-08,ODI # 2706
24,43,27,5,0,88.88,3,caught,2,v Pakistan,Dhaka,14-Jun-08,ODI # 2707
11,37,29,0,0,37.93,3,run out,1,v Hong Kong,Karachi,25-Jun-08,ODI # 2716
0*,3,1,0,0,0,6,not out,2,v Pakistan,Karachi,26-Jun-08,ODI # 2717
22,28,23,2,0,95.65,3,caught,2,v Bangladesh,Karachi,28-Jun-08,ODI # 2721
58,81,71,4,0,81.69,6,caught,1,v Pakistan,Karachi,02-Jul-08,ODI # 2730
22*,37,28,2,0,78.57,6,not out,2,v Sri Lanka,Karachi,03-Jul-08,ODI # 2732
3,8,8,0,0,37.5,6,lbw,2,v Sri Lanka,Karachi,06-Jul-08,ODI # 2735
19,46,31,1,1,61.29,5,caught,1,v Sri Lanka,Dambulla,18-Aug-08,ODI # 2742
0,2,2,0,0,0,6,lbw,2,v Sri Lanka,Dambulla,20-Aug-08,ODI # 2745
32,39,32,3,0,100,7,caught,1,v Sri Lanka,Colombo (RPS),24-Aug-08,ODI # 2750
18,30,23,0,0,78.26,6,caught,1,v Sri Lanka,Colombo (RPS),27-Aug-08,ODI # 2755
3,11,5,0,0,60,5,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08,ODI # 2756
11*,30,8,1,0,137.5,7,not out,1,v England,Rajkot,14-Nov-08,ODI # 2774
3,16,13,0,0,23.07,4,caught,1,v England,Indore,17-Nov-08,ODI # 2777
28,54,41,3,0,68.29,4,caught,2,v England,Kanpur,20-Nov-08,ODI # 2778
8*,13,10,1,0,80,6,not out,2,v England,Cuttack,26-Nov-08,ODI # 2783
25*,44,30,3,0,83.33,6,not out,2,v Sri Lanka,Dambulla,28-Jan-09,ODI # 2806
4*,12,6,0,0,66.66,7,not out,1,v Sri Lanka,Colombo (RPS),05-Feb-09,ODI # 2815
15,31,22,1,0,68.18,5,caught,2,v Sri Lanka,Colombo (RPS),08-Feb-09,ODI # 2818
DNB,-,-,-,-,-,-,-,2,v New Zealand,Hamilton,11-Mar-09,ODI # 2824
43*,106,74,1,1,58.1,4,not out,1,v New Zealand,Auckland,14-Mar-09,ODI # 2825
4,9,12,0,0,33.33,3,caught,1,v West Indies,Kingston,26-Jun-09,ODI # 2852
0,7,2,0,0,0,3,caught,1,v West Indies,Kingston,28-Jun-09,ODI # 2853
11,19,9,0,0,122.22,5,caught,2,v West Indies,Gros Islet,03-Jul-09,ODI # 2854
TDNB,-,-,-,-,-,-,-,-,v West Indies,Gros Islet,05-Jul-09,ODI # 2855
48,-,61,3,0,78.68,4,caught,2,v South Africa,Ahmedabad,27-Feb-10,ODI # 2963
114,135,119,6,4,95.79,4,caught,1,v Zimbabwe,Bulawayo,28-May-10,ODI # 2981
101*,126,100,6,2,101,4,not out,2,v Sri Lanka,Bulawayo,30-May-10,ODI # 2983
13,34,25,0,0,52,4,run out,1,v Zimbabwe,Harare,03-Jun-10,ODI # 2986
32,43,40,1,0,80,5,bowled,1,v Sri Lanka,Harare,05-Jun-10,ODI # 2988
0,1,1,0,0,0,4,lbw,2,v Bangladesh,Dambulla,16-Jun-10,ODI # 2993
22,20,24,2,0,91.66,5,lbw,2,v Pakistan,Dambulla,19-Jun-10,ODI # 2996
69,118,73,7,0,94.52,4,run out,1,v Sri Lanka,Dambulla,22-Jun-10,ODI # 2999
41,80,52,3,0,78.84,5,caught,1,v Sri Lanka,Dambulla,24-Jun-10,ODI # 3001
