Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
48,83,61,4,0,78.68,1,caught,1,vÿSri Lanka,Hambantota,12-Jul-14,ODI # 3502
122*,209,132,6,3,92.42,2,not out,1,vÿZimbabwe,Bulawayo,17-Aug-14,ODI # 3507
15,38,21,2,0,71.42,2,bowled,1,vÿZimbabwe,Bulawayo,19-Aug-14,ODI # 3508
24,36,29,4,0,82.75,2,caught,2,vÿAustralia,Harare,27-Aug-14,ODI # 3516
66,102,80,5,1,82.5,1,stumped,1,vÿZimbabwe,Harare,29-Aug-14,ODI # 3518
17,42,28,2,0,60.71,1,caught,2,vÿAustralia,Harare,02-Sep-14,ODI # 3522
14,32,22,2,0,63.63,2,caught,1,vÿZimbabwe,Harare,04-Sep-14,ODI # 3524
51,95,75,2,0,68,1,caught,2,vÿAustralia,Harare,06-Sep-14,ODI # 3526
38,95,74,1,0,51.35,2,bowled,2,vÿNew Zealand,Mount Maunganui,21-Oct-14,ODI # 3536
119,185,135,15,0,88.14,1,bowled,1,vÿNew Zealand,Mount Maunganui,24-Oct-14,ODI # 3537
12,24,20,2,0,60,2,caught,1,vÿNew Zealand,Hamilton,27-Oct-14,ODI # 3538
8,22,13,1,0,61.53,1,caught,2,vÿAustralia,Perth,14-Nov-14,ODI # 3545
10,30,22,1,0,45.45,2,caught,2,vÿAustralia,Perth,16-Nov-14,ODI # 3546
102,168,115,9,0,88.69,1,bowled,2,vÿAustralia,Canberra,19-Nov-14,ODI # 3548
18,23,20,3,0,90,2,caught,1,vÿAustralia,Melbourne,21-Nov-14,ODI # 3549
18,45,28,3,0,64.28,1,caught,1,vÿAustralia,Sydney,23-Nov-14,ODI # 3551
66,87,66,10,0,100,1,run out,1,vÿWest Indies,Durban,16-Jan-15,ODI # 3579
153*,236,142,14,0,107.74,1,not out,1,vÿWest Indies,Johannesburg,18-Jan-15,ODI # 3583
61*,99,63,9,0,96.82,2,not out,2,vÿWest Indies,East London,21-Jan-15,ODI # 3587
