Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
5,7,9,1,0,55.55,1,bowled,1,vÿIndia,Napier,23-Jan-19,ODI # 4082
15,22,16,2,0,93.75,1,caught,2,vÿIndia,Mount Maunganui,26-Jan-19,ODI # 4085
13,27,15,1,1,86.66,1,caught,1,vÿIndia,Mount Maunganui,28-Jan-19,ODI # 4088
14,2,4,2,1,350,1,caught,2,vÿIndia,Hamilton,31-Jan-19,ODI # 4091
117*,192,116,8,4,100.86,1,not out,2,vÿBangladesh,Napier,13-Feb-19,ODI # 4093
118,126,88,14,4,134.09,1,caught,2,vÿBangladesh,Christchurch,16-Feb-19,ODI # 4094
29,51,40,3,1,72.5,1,caught,1,vÿBangladesh,Dunedin,20-Feb-19,ODI # 4095
73*,82,51,8,2,143.13,1,not out,2,vÿSri Lanka,Cardiff,01-Jun-19,ODI # 4145
25,22,14,3,1,178.57,1,caught,2,vÿBangladesh,The Oval,05-Jun-19,ODI # 4151
0,3,1,0,0,0,1,caught,2,vÿAfghanistan,Taunton,08-Jun-19,ODI # 4154
35,68,59,5,0,59.32,1,hit wicket,2,vÿSouth Africa,Birmingham,19-Jun-19,ODI # 4165
0,3,1,0,0,0,1,lbw,1,vÿWest Indies,Manchester,22-Jun-19,ODI # 4170
5,5,4,1,0,125,1,bowled,1,vÿPakistan,Birmingham,26-Jun-19,ODI # 4174
20,60,43,2,0,46.51,1,lbw,2,vÿAustralia,Lord's,29-Jun-19,ODI # 4178
8,25,16,1,0,50,1,caught,2,vÿEngland,Chester-le-Street,03-Jul-19,ODI # 4183
1,15,14,0,0,7.14,1,caught,1,vÿIndia,Manchester,09-Jul-19,ODI # 4190
19,30,18,2,1,105.55,1,lbw,1,vÿEngland,Lord's,14-Jul-19,ODI # 4192
,,,,,,,,,,,,
