Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
119*,189,160,15,0,74.37,3,not out,1,v India,Durban,22-Nov-06,ODI # 2447
0,2,2,0,0,0,3,caught,1,v India,Cape Town,26-Nov-06,ODI # 2449
49,78,62,9,0,79.03,3,caught,1,v India,Port Elizabeth,29-Nov-06,ODI # 2452
DNB,-,-,-,-,-,-,-,2,v India,Centurion,03-Dec-06,ODI # 2458
88*,120,85,2,4,103.52,4,not out,1,v Pakistan,Centurion,04-Feb-07,ODI # 2506
34,68,43,4,0,79.06,3,caught,2,v Pakistan,Durban,07-Feb-07,ODI # 2513
TDNB,-,-,-,-,-,-,-,-,v Pakistan,Port Elizabeth,09-Feb-07,ODI # 2517
DNB,-,-,-,-,-,-,-,2,v Pakistan,Cape Town,11-Feb-07,ODI # 2521
71*,122,89,8,1,79.77,3,not out,2,v Pakistan,Johannesburg,14-Feb-07,ODI # 2523
128*,157,109,11,5,117.43,3,not out,1,v Netherlands,Basseterre,16-Mar-07,ODI # 2537
DNB,-,-,-,-,-,-,-,2,v Scotland,Basseterre,20-Mar-07,ODI # 2545
48,114,63,5,0,76.19,3,caught,2,v Australia,Basseterre,24-Mar-07,ODI # 2552
86,187,110,4,0,78.18,3,caught,2,v Sri Lanka,Providence,28-Mar-07,ODI # 2556
66*,138,86,8,0,76.74,3,not out,2,v Ireland,Providence,03-Apr-07,ODI # 2562
32,41,36,5,0,88.88,3,caught,2,v Bangladesh,Providence,07-Apr-07,ODI # 2564
81,127,86,6,1,94.18,3,bowled,1,v West Indies,St George's,10-Apr-07,ODI # 2567
22,77,54,1,1,40.74,3,caught,1,v New Zealand,St George's,14-Apr-07,ODI # 2571
17*,54,25,2,0,68,3,not out,2,v England,Bridgetown,17-Apr-07,ODI # 2574
5,12,9,1,0,55.55,3,bowled,1,v Australia,Gros Islet,25-Apr-07,ODI # 2580
46,61,47,2,1,97.87,3,caught,1,v Ireland,Belfast,24-Jun-07,ODI # 2591
91*,142,116,6,0,78.44,3,not out,2,v India,Belfast,26-Jun-07,ODI # 2592
2,7,6,0,0,33.33,3,bowled,1,v India,Belfast,29-Jun-07,ODI # 2593
0,8,6,0,0,0,3,bowled,1,v India,Belfast,01-Jul-07,ODI # 2595
8,14,11,1,0,72.72,3,caught,1,v Pakistan,Lahore,18-Oct-07,ODI # 2633
0,7,5,0,0,0,3,caught,2,v Pakistan,Lahore,20-Oct-07,ODI # 2635
13,29,32,2,0,40.62,3,caught,1,v Pakistan,Faisalabad,23-Oct-07,ODI # 2637
6*,8,6,1,0,100,4,not out,2,v Pakistan,Multan,26-Oct-07,ODI # 2639
86,182,130,4,1,66.15,3,caught,1,v Pakistan,Lahore,29-Oct-07,ODI # 2642
1,20,15,0,0,6.66,3,caught,2,v New Zealand,Durban,25-Nov-07,ODI # 2648
26,102,60,2,0,43.33,3,caught,1,v New Zealand,Port Elizabeth,30-Nov-07,ODI # 2650
30,71,49,4,0,61.22,3,caught,2,v New Zealand,Cape Town,02-Dec-07,ODI # 2652
24,65,43,3,0,55.81,3,caught,2,v West Indies,Centurion,20-Jan-08,ODI # 2661
7,10,8,1,0,87.5,3,caught,1,v West Indies,Cape Town,25-Jan-08,ODI # 2664
121*,185,133,12,1,90.97,3,not out,2,v West Indies,Port Elizabeth,27-Jan-08,ODI # 2666
1,6,6,0,0,16.66,3,caught,2,v West Indies,Durban,01-Feb-08,ODI # 2668
74*,115,70,7,0,105.71,3,not out,2,v West Indies,Johannesburg,03-Feb-08,ODI # 2671
52,77,69,7,0,75.36,3,run out,2,v England,Leeds,22-Aug-08,ODI # 2748
6,20,15,1,0,40,3,caught,1,v England,Nottingham,26-Aug-08,ODI # 2754
9,52,25,1,0,36,3,caught,2,v England,The Oval,29-Aug-08,ODI # 2757
1,12,8,0,0,12.5,3,caught,1,v England,Lord's,31-Aug-08,ODI # 2759
0*,7,5,0,0,0,3,not out,1,v England,Cardiff,03-Sep-08,ODI # 2761
71,146,86,5,1,82.55,3,caught,1,v Kenya,Bloemfontein,31-Oct-08,ODI # 2769
92*,145,94,8,2,97.87,3,not out,2,v Kenya,Kimberley,02-Nov-08,ODI # 2770
50,78,73,2,0,68.49,3,caught,1,v Bangladesh,Potchefstroom,07-Nov-08,ODI # 2771
49,54,49,4,1,100,3,bowled,1,v Bangladesh,Benoni,09-Nov-08,ODI # 2772
41,70,49,4,0,83.67,3,bowled,2,v Australia,Melbourne,16-Jan-09,ODI # 2795
72,102,96,5,0,75,3,caught,2,v Australia,Hobart,18-Jan-09,ODI # 2796
60,91,72,5,0,83.33,3,caught,2,v Australia,Sydney,23-Jan-09,ODI # 2802
13,13,12,3,0,108.33,3,caught,2,v Australia,Adelaide,26-Jan-09,ODI # 2804
31,66,42,5,0,73.8,3,caught,2,v Australia,Centurion,05-Apr-09,ODI # 2834
70,115,86,5,0,81.39,3,caught,1,v Australia,Cape Town,09-Apr-09,ODI # 2839
17,37,24,1,1,70.83,3,caught,1,v Australia,Port Elizabeth,13-Apr-09,ODI # 2840
64,103,69,6,1,92.75,3,caught,2,v Australia,Johannesburg,17-Apr-09,ODI # 2841
41,74,48,4,0,85.41,3,caught,2,v Sri Lanka,Centurion,22-Sep-09,ODI # 2893
36,45,39,6,0,92.3,3,caught,2,v New Zealand,Centurion,24-Sep-09,ODI # 2895
12,21,16,1,0,75,3,caught,2,v England,Centurion,27-Sep-09,ODI # 2900
81,141,105,8,2,77.14,2,caught,1,v Zimbabwe,Centurion,10-Nov-09,ODI # 2928
89,-,97,6,1,91.75,3,bowled,2,v India,Jaipur,21-Feb-10,ODI # 2961
11,28,13,2,0,84.61,4,bowled,2,v India,Gwalior,24-Feb-10,ODI # 2962
104*,-,94,5,3,110.63,3,not out,1,v India,Ahmedabad,27-Feb-10,ODI # 2963
1,8,7,0,0,14.28,3,caught,1,v West Indies,North Sound,22-May-10,ODI # 2979
85,131,89,4,0,95.5,3,caught,1,v West Indies,North Sound,24-May-10,ODI # 2980
31,54,41,2,1,75.6,3,caught,1,v West Indies,Roseau,28-May-10,ODI # 2982
51,-,54,1,1,94.44,3,caught,2,v West Indies,Roseau,30-May-10,ODI # 2984
57,-,55,5,0,103.63,3,caught,2,v West Indies,Port of Spain,03-Jun-10,ODI # 2987
66*,-,88,5,1,75,3,retired notout,2,v Pakistan,Abu Dhabi,29-Oct-10,ODI # 3062
0,11,9,0,0,0,2,bowled,1,v Pakistan,Dubai (DSC),02-Nov-10,ODI # 3064
15,-,22,2,0,68.18,3,caught,1,v Pakistan,Dubai (DSC),05-Nov-10,ODI # 3067
83,-,95,4,0,87.36,3,caught,1,v Pakistan,Dubai (DSC),08-Nov-10,ODI # 3069
