Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
65,83,54,9,0,120.37,3,caught,2,vÿSri Lanka,The Oval,29-Jun-16,ODI # 3757
93,149,106,6,0,87.73,3,bowled,1,vÿSri Lanka,Cardiff,02-Jul-16,ODI # 3758
61,101,72,6,0,84.72,3,run out,2,vÿPakistan,Southampton,24-Aug-16,ODI # 3770
89,201,108,5,0,82.4,3,caught,2,vÿPakistan,Lord's,27-Aug-16,ODI # 3771
85,146,86,8,0,98.83,3,caught,1,vÿPakistan,Nottingham,30-Aug-16,ODI # 3773
30,45,26,5,1,115.38,3,caught,2,vÿPakistan,Leeds,01-Sep-16,ODI # 3775
9,21,9,1,0,100,3,bowled,1,vÿPakistan,Cardiff,04-Sep-16,ODI # 3777
78,141,95,4,1,82.1,3,caught,1,vÿIndia,Pune,15-Jan-17,ODI # 3819
54,65,55,8,0,98.18,3,caught,2,vÿIndia,Cuttack,19-Jan-17,ODI # 3821
4,9,5,0,0,80,3,bowled,1,vÿWest Indies,North Sound,03-Mar-17,ODI # 3845
90*,195,127,3,0,70.86,3,not out,2,vÿWest Indies,North Sound,05-Mar-17,ODI # 3848
101,-,108,10,0,93.51,3,caught,1,vÿWest Indies,Bridgetown,09-Mar-17,ODI # 3849
49*,78,52,7,0,94.23,3,not out,2,vÿIreland,Bristol,05-May-17,ODI # 3864
73,106,73,8,0,100,3,caught,1,vÿIreland,Lord's,07-May-17,ODI # 3865
37,93,51,2,0,72.54,3,caught,1,vÿSouth Africa,Leeds,24-May-17,ODI # 3872
39,50,41,6,0,95.12,3,run out,1,vÿSouth Africa,Southampton,27-May-17,ODI # 3873
2,6,5,0,0,40,3,lbw,1,vÿSouth Africa,Lord's,29-May-17,ODI # 3874
133*,202,129,11,1,103.1,3,not out,2,vÿBangladesh,The Oval,01-Jun-17,ODI # 3875
64,122,65,4,2,98.46,3,bowled,1,vÿNew Zealand,Cardiff,06-Jun-17,ODI # 3880
15,25,14,2,0,107.14,3,caught,2,vÿAustralia,Birmingham,10-Jun-17,ODI # 3885
46,82,56,2,0,82.14,3,caught,1,vÿPakistan,Cardiff,14-Jun-17,ODI # 3889
54,77,53,4,0,101.88,3,bowled,2,vÿWest Indies,Manchester,19-Sep-17,ODI # 3911
DNB,-,-,-,-,-,-,-,1,vÿWest Indies,Nottingham,21-Sep-17,ODI # 3913
84,120,79,7,2,106.32,3,lbw,1,vÿWest Indies,Bristol,24-Sep-17,ODI # 3915
14,-,15,2,0,93.33,3,caught,2,vÿWest Indies,The Oval,27-Sep-17,ODI # 3916
46*,-,44,2,1,104.54,3,not out,2,vÿWest Indies,Southampton,29-Sep-17,ODI # 3918
91*,186,110,5,0,82.72,4,not out,2,vÿAustralia,Melbourne,14-Jan-18,ODI # 3951
46*,-,58,1,0,79.31,4,not out,2,vÿAustralia,Brisbane,19-Jan-18,ODI # 3958
27,-,31,1,0,87.09,4,bowled,1,vÿAustralia,Sydney,21-Jan-18,ODI # 3960
0,-,7,0,0,0,4,caught,1,vÿAustralia,Adelaide,26-Jan-18,ODI # 3966
62,-,68,2,0,91.17,4,caught,1,vÿAustralia,Perth,28-Jan-18,ODI # 3968
71,124,75,5,1,94.66,3,bowled,1,vÿNew Zealand,Hamilton,25-Feb-18,ODI # 3980
9,26,18,1,0,50,3,caught,2,vÿNew Zealand,Mount Maunganui,28-Feb-18,ODI # 3981
20,26,22,3,0,90.9,3,caught,1,vÿNew Zealand,Wellington,03-Mar-18,ODI # 3982
102,155,101,6,2,100.99,3,caught,1,vÿNew Zealand,Dunedin,07-Mar-18,ODI # 3989
23*,47,37,1,0,62.16,3,not out,2,vÿNew Zealand,Christchurch,10-Mar-18,ODI # 3992
29,-,25,3,1,116,4,run out,2,vÿScotland,Edinburgh,10-Jun-18,ODI # 4008
50,111,71,4,0,70.42,4,caught,2,vÿAustralia,The Oval,13-Jun-18,ODI # 4009
22,40,24,2,0,91.66,4,caught,1,vÿAustralia,Cardiff,16-Jun-18,ODI # 4010
4*,-,6,0,0,66.66,7,not out,1,vÿAustralia,Nottingham,19-Jun-18,ODI # 4011
27,-,35,2,1,77.14,4,bowled,2,vÿAustralia,Chester-le-Street,21-Jun-18,ODI # 4012
1,-,3,0,0,33.33,4,caught,2,vÿAustralia,Manchester,24-Jun-18,ODI # 4013
3,-,6,0,0,50,3,lbw,1,vÿIndia,Nottingham,12-Jul-18,ODI # 4014
113*,-,116,8,1,97.41,3,not out,1,vÿIndia,Lord's,14-Jul-18,ODI # 4016
100*,155,120,10,0,83.33,3,not out,2,vÿIndia,Leeds,17-Jul-18,ODI # 4018
25*,-,28,4,0,89.28,3,not out,1,vÿSri Lanka,Dambulla,10-Oct-18,ODI # 4052
71,116,83,6,0,85.54,3,caught,1,vÿSri Lanka,Dambulla,13-Oct-18,ODI # 4053
8,-,10,1,0,80,3,bowled,2,vÿSri Lanka,Pallekele,17-Oct-18,ODI # 4054
32*,-,57,0,0,56.14,3,not out,2,vÿSri Lanka,Pallekele,20-Oct-18,ODI # 4055
10,-,16,0,0,62.5,3,caught,2,vÿSri Lanka,Colombo (RPS),23-Oct-18,ODI # 4058
102,167,97,9,0,105.15,3,caught,2,vÿWest Indies,Bridgetown,20-Feb-19,ODI # 4096
36,58,40,6,0,90,3,caught,2,vÿWest Indies,Bridgetown,22-Feb-19,ODI # 4097
TDNB,-,-,-,-,-,-,-,-,vÿWest Indies,St George's,25-Feb-19,ODI # 4098
